id,year,occup1,woj,nace,technical,math,artistic,computer,cognitive,managerial,interpersonal,individual,physical,availability,office,total_skills
636181,2014,2,10,J,0,0,0,1,0,0,1,1,0,0,0,3
614137,2014,2,24,J,0,0,0,1,0,0,0,1,0,0,0,2
601109,2014,3,02,D,0,0,0,1,0,0,1,1,0,0,0,3
637029,2014,2,22,G,0,0,0,0,0,0,0,0,0,0,0,0
640180,2014,2,22,F,0,0,0,1,1,0,1,1,0,0,0,4
610102,2014,2,30,M,0,0,0,1,0,0,0,1,0,0,0,2
630181,2014,3,14,K,0,0,0,1,0,0,0,1,0,0,0,2
610114,2014,3,24,C,1,0,0,1,1,0,1,1,0,0,0,5
640035,2014,5,24,C,0,0,0,1,1,0,1,1,0,0,0,4
622206,2014,2,30,J,0,0,0,0,0,0,1,0,0,0,0,1
604400,2014,2,04,J,0,0,0,1,0,0,1,1,0,0,1,4
602060,2014,2,04,C,0,0,0,1,0,0,1,1,0,1,0,4
628019,2014,2,04,C,0,0,0,1,0,0,1,1,0,1,0,4
625276,2014,3,12,C,0,0,0,1,1,0,0,1,0,0,0,3
608207,2014,2,24,C,1,0,0,0,0,0,0,0,0,1,0,2
601379,2014,2,14,M,1,0,0,1,0,1,1,1,0,1,0,6
605237,2014,7,04,C,0,0,0,1,0,0,1,1,0,0,0,3
646269,2014,3,08,C,0,0,0,0,1,1,1,1,0,0,0,4
644158,2014,1,04,C,0,0,0,1,0,0,1,0,0,0,0,2
608190,2014,2,08,M,0,0,0,1,1,0,0,1,0,1,1,5
632099,2014,5,24,F,0,0,0,0,0,0,1,1,0,1,0,3
640133,2014,5,24,C,0,0,0,0,0,0,1,1,0,1,0,3
622006,2014,2,06,J,0,0,0,1,1,0,1,1,0,0,0,4
641306,2014,2,14,J,0,0,0,1,1,0,1,1,0,0,0,4
643380,2014,2,12,J,0,0,0,1,0,0,0,0,0,0,0,1
607184,2014,7,18,C,1,0,0,1,1,0,1,1,0,0,0,5
627160,2014,7,22,I,0,0,0,0,0,0,0,0,0,0,0,0
607260,2014,8,22,M,0,0,0,0,0,0,0,0,0,0,0,0
608183,2014,2,04,C,0,0,0,1,1,0,1,1,0,0,0,4
607360,2014,4,14,F,0,0,0,0,0,0,0,0,0,0,0,0
624285,2014,5,12,I,0,0,1,0,1,0,1,0,0,0,0,3
622201,2014,2,30,J,0,0,0,1,0,0,0,0,0,1,0,2
641294,2014,2,14,J,0,0,0,1,0,0,0,0,0,1,0,2
645213,2014,2,30,J,0,0,0,1,0,0,0,0,0,1,0,2
605433,2014,3,24,C,0,0,0,1,0,0,0,0,0,0,0,1
630234,2014,3,14,C,0,0,0,1,1,1,1,1,0,0,0,5
634145,2014,3,12,C,0,0,0,1,0,0,0,0,0,0,0,1
634154,2014,3,12,C,0,0,0,1,0,0,0,0,0,0,0,1
617251,2014,2,14,S,0,0,0,1,0,0,1,1,0,0,0,3
628232,2014,2,14,J,0,0,0,1,0,0,1,1,0,0,0,3
644013,2014,3,28,O,0,0,0,0,0,0,0,0,0,0,0,0
634191,2014,3,14,C,0,0,0,1,1,1,1,1,0,0,0,5
641142,2014,2,22,J,0,0,0,0,0,0,0,0,0,0,0,0
645035,2014,2,22,J,0,0,0,0,0,0,0,0,0,0,0,0
601006,2014,3,02,D,0,0,0,1,0,1,1,1,0,1,0,5
614171,2014,7,02,C,1,0,0,0,0,0,1,1,1,0,0,4
